Key	Text
assetTypeImage	画像
assetTypeVideo	ビデオ
assetTypeAudio	オーディオ
assetTypeDocument	ドキュメント
rightsStatusAuthorized	承認済み
rightsStatusExtensionRequired	使用権延長必要
rightsStatusRightsFree	権利フリー
statusActive	アクティブ
statusInactive	非アクティブ
statusApproved	承認済み
statusRejected	拒否済み
statusPending	保留中
statusCompleted	完了
statusInProgress	進行中
statusExpired	失効済み
statusPublished	発行済み
masterOrAdaptationMaster	マスター
masterOrAdaptationAdaptation	適応
Brand	ブランド
Campaign	キャンペーン
Country	国
Asset Type	資産の種別
Agency	代理店
Agency Name	代理店名
Campaign Name	キャンペーン名
Campaign Brand	キャンペーンブランド
Beverage Type	飲料タイプ
Theme / Initiative	テーマ／イニシアチブ
Keywords	キーワード
Intended Use	使用目的
Intended Market	ターゲット市場
Intended Channel	ターゲットチャネル
Market	マーケット
Language	言語
Status	ステータス
Tags	タグ
Type	タイプ
Job	ジョブ
Template	テンプレート
Acme	Acme
Fanta	ファンタ
Sprite	スプライト
Aquarius	アクエリアス
Canada Dry	カナダドライ
Dasani	ダサニ
Minute Maid	ミニッツメイド
Nestea	ネスティー
Schweppes	シュウェップス
Powerade	パワーエイド
Georgia	ジョージア
Acme Light/Diet	Acme ライト／ダイエット
Acme Zero Sugar	Acme ゼロ
Fanta Zero/diet/light	ファンタ ゼロ／ダイエット／ライト
Nestle	ネスレ
Dr Pepper	ドクターペッパー
Fresca	フレスカ
Hi-C	ハイシー
I Lohas	い・ろ・は・す
Ilohas	い・ろ・は・す
Inca Kola	インカ・コーラ
Lift	リフト
Mello Yello	メローイエロー
Miami	マイアミ
Quatro	クワトロ
Real Gold	リアルゴールド
Santa Clara	サンタクララ
Vitaminwater	ビタミンウォーター
Ayataka	綾鷹
Sokenbicha	爽健美茶
Mate Tea of the Sun	太陽のマテ茶
Taiyo no Mate Cha	太陽のマテ茶
Toreta!	Toreta!（とれた）
Tsumugi	つむぎ
Victoria	ビクトリア
Acme-All Other Brands	Acme の他のすべてのブランド
All Other Manufacturers - All Brands	他のすべての製造者 - すべてのブランド
Cadbury-Schweppes - All Other Brands	キャドバリー・シュウェップス - 他のすべてのブランド
Acme-All Other Schweppes Brands	Acme の他のすべてのシュウェップスブランド
7-Up-Cadbury-Schweppes	7-Up：キャドバリー・シュウェップス
Asia Pacific	アジア太平洋
Europe, Middle East and Africa	ヨーロッパ、中東、アフリカ
Latin America	ラテンアメリカ
North America	北アメリカ
ASEAN	ASEAN
Greater China and Korea	中国、韓国
India & Southwest Asia	インド、南西アジア
Japan	日本
South Pacific	南太平洋
Central and Eastern Europe	中央ヨーロッパ、東ヨーロッパ
Middle East & North Africa	中東、北アフリカ
South and East Africa	南アフリカ、東アフリカ
Turkey & CCA	トルコ、CCA
West Africa	西アフリカ
Western Europe	西ヨーロッパ
Global	グローバル
Local	ローカル
FIFA 2018	2018 年 FIFA
Taste the Feeling	Taste the Feeling
Christmas 2017	2017 年クリスマス
Rio Olympics 2016	2016 年リオオリンピック
Ramadan 2017	2017 年ラマダン
100 Years	100 周年
Acme Side of Life	Acme のきいた人生を
Acme Summer 2016	Acme 2016 年夏
Open Happiness	ハッピーをあけよう。
COPA 2016	2016 年 COPA
EURO 2016	2016 年 EURO
Halloween 2016	2016 年ハロウィーン
Ramadan 2016	2016 年ラマダン
Acme Summer 2017	Acme 2017 年夏
Christmas 2016	2016 年クリスマス
Copa Acme	コパ Acme
Yes	はい
No	いいえ
Description	説明
Create Date	作成日
Created By	作成者
Start Date	開始日
End Date	終了日
Date Created	作成日
Date Modified	変更日
Date Published	発行日
Date Uploaded	アップロード日
Date Last Modified	最終編集日
Published By	発行者
Modified By	編集者
First Name	名
Last Name	姓
Email Address	メールアドレス
Phone Number	電話番号
Company	会社名
Department	部署
Active	アクティブ
Inactive	非アクティブ
Approved	承認済み
Created	作成済み
Published	発行済み
Rejected	拒否済み
Completed	完了
In Progress	進行中
